DescripcionCIAN,ActividadBMXID,DescripcionBMX
CULTIVO DE SOYA,0111097,CULTIVO DE SOYA
"CULTIVO DE SEMILLAS OLEAGINOSAS, EXCEPTO SOYA",0129024,CULTIVO DE OTRAS SEMILLAS
"CULTIVO DE SEMILLAS OLEAGINOSAS, EXCEPTO SOYA",0124032,CULTIVO DE CARTAMO
"CULTIVO DE SEMILLAS OLEAGINOSAS, EXCEPTO SOYA",0124016,CULTIVO DE AJONJOLI
"CULTIVO DE SEMILLAS OLEAGINOSAS, EXCEPTO SOYA",0111089,CULTIVO DE SORGO
"CULTIVO DE SEMILLAS OLEAGINOSAS, EXCEPTO SOYA",0111039,CULTIVO DE AVENA
"CULTIVO DE SEMILLAS OLEAGINOSAS, EXCEPTO SOYA",0111013,CULTIVO DE ALPISTE
CULTIVO DE LEGUMBRES,0124024,CULTIVO DE CACAHUATE
CULTIVO DE LEGUMBRES,0112102,CULTIVO DE LENTEJA
CULTIVO DE LEGUMBRES,0112079,CULTIVO DE FRIJOL
CULTIVO DE LEGUMBRES,0112037,CULTIVO DE CAMOTE
CULTIVO DE LEGUMBRES,0111047,CULTIVO DE CEBADA
CULTIVO DE TRIGO,0111104,CULTIVO DE TRIGO
CULTIVO DE MAIZ,0111063,CULTIVO DE MAIZ
CULTIVO DE ARROZ,2028018,BENEFICIO DE ARROZ EXCEPTO MOLIENDA
CULTIVO DE ARROZ,0111021,CULTIVO DE ARROZ
CULTIVO DE OTROS GRANOS,0147018,CULTIVO DE CACAO
CULTIVO DE OTROS GRANOS,0141010,CULTIVO DE CAFE
CULTIVO DE OTROS GRANOS,0129032,CULTIVO DE SEMILLAS MEJORADAS
CULTIVO DE OTROS GRANOS,0112087,CULTIVO DE GARBANZO
CULTIVO DE OTROS GRANOS,0111055,CULTIVO DE LINAZA
CULTIVO DE HORTALIZAS,0112128,CULTIVO DE OTRAS HORTALIZAS
CULTIVO DE HORTALIZAS,0112045,CULTIVO DE CEBOLLA
CULTIVO DE HORTALIZAS,0112029,CULTIVO DE CALABAZA
CULTIVO DE HORTALIZAS,0112011,CULTIVO DE AJO
CULTIVO DE NARANJA,0142076,CULTIVO DE NARANJA
CULTIVO DE OTROS CITRICOS,0142125,CULTIVO DE TORONJA
